집계년월,시군명,농원명,대표자명,승인연도,농원면적,주요시설정보,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2024-12,가평군,농부의뜰 관광농원,,2021,3439,"영농체험시설, 휴게음식점,지역특산물판매장",,,,,
2024-12,가평군,Zephyr-산들바람 가평 관광농원,,2024,5436.3,"영농체험시설, 음식점",,,,,
2024-12,가평군,산들애파크188 다산트라 관광농원,,2024,23765.2,"영농체험시설(재배부지), 숙박시설",,,,,
2024-12,가평군,아리울 관광농원,,2024,4689.4,"영농체험시설(재배부지),야영장 및 그늘막,수영장",,,,,
2024-12,가평군,천원화조 관광농원,,2024,25836,"영농체험시설,  음식물제공시설, 지역특산물판매장",,,,,
2024-12,가평군,휴밸리 관광농원,,2024,4375.4,"영농체험시설, 숙박시설(생활), 음식물제공시설, 지역특산물판매장",,,,,
2024-12,가평군,헬리오스 관광농원,,2024,6666.6,"영농체험시설,숙박시설",,,,,
2024-12,가평군,일칠일 관광농원,,2023,5289.9,"영농체험시설, 음식점, 야영장",,,,,
2024-12,가평군,아이섬관광농원,,2018,10921,"영농체험시설, 음식점, 야영장, 실내운동장",,,,,
2024-12,가평군,무지개 관광농원,,2022,7493,"영농체험시설, 휴게음식점,숙박시설",,,,,
2024-12,가평군,가평양떼목장,,2020,5744,"영농체험시설,썰매장,운동장",,,,,
2024-12,가평군,잣나무 관광농원,,2024,11689,"영농체험시설, 야영장",,,,,
2024-12,가평군,구름산 관광농원,,2022,14235,"영농체험시설, 야영장, 휴게음식점",,,,,
2024-12,고양시,살구농원,,2024,15659,"영농체험,휴양시설, 놀이터 등",,,,,
2024-12,고양시,관광농원 숨터,,2024,29067,"영농체험,야영시설, 음식점 등",,,,,
2024-12,광주시,정인 관광농원,,2020,3636,"영농체험시설, 유실수 식재지, 휴식공간 등",,,,,
2024-12,김포시,김포관광농원,,2016,29900,"영농체험시설, 야영장, 체육시설 등",,,,,
2024-12,김포시,문수산,,2010,7405,"숙박, 농업체험",,,,,
2024-12,김포시,후평농원,,2009,13140,"편의시설(숙박), 휴양시설(낚시터체험장)",,,,,
2024-12,김포시,힐링농원,,2014,6930,"체험시설, 야영장, 편의시설 등",,,,,
2024-12,김포시,물고기(진산각농원),,1997,11648,"낚시체험장, 식당",,,,,
2024-12,김포시,크로바 관광농원,,2024,6473,"영농체험시설, 소매점, 야영장 등",,,,,
2024-12,김포시,범바위 관광농원,,2020,9511,"영농체험시설, 야영장 등",,,,,
2024-12,남양주시,남양주휴림,,2015,5517,"영농체험시설,야영장,주차장",,,,,
2024-12,남양주시,구암농원,,2014,6075,"영농체험시설,야영장,주차장",,,,,
2024-12,남양주시,명품산야초농원,,2008,7490,"영농체험시설, 농산물 판매장",,,,,
2024-12,남양주시,남양주관광농원,,2007,8854,"영농체험시설, 야외예식장",,,,,
2024-12,남양주시,비스타밸리,,2012,23050,"영농체험장,말운동장,휴식공간,야외캠핌장",,,,,
2024-12,남양주시,벨하우스 관광농원,,2015,4471,"영농체험장,야영장,편의시설",,,,,
2024-12,남양주시,광릉 숲 관광농원,,2018,5485,"영농체험시설,주차장, 편의시설",,,,,
2024-12,동두천시,산속에 관광농원,,2021,4940,"영농체험시설, 야영장",,,,,
2024-12,동두천시,농부네 뜰,,2022,4980,"영농체험시설, 야영장",,,,,
2024-12,동두천시,아낌없이 주는나무,,2023,18188,"영농체험시설, 야영장",,,,,
2024-12,동두천시,탑동동농원,,2024,9562,"영농체험시설, 야영장",,,,,
2024-12,동두천시,동두천 먹는 꽃 농원,,2020,4995,영농체험시설,,,,,
2024-12,동두천시,광암농원,,2019,4950,"영농체험시설,음식점",,,,,
2024-12,동두천시,숲아카데미 관광농원,,2018,27980,"영농체험시설, 야영장, 숙박시설, 음식점, 판매장",,,,,
2024-12,동두천시,그림책동화마을 품,,2018,4086,"영농체험시설, 야영장, 판매장",,,,,
2024-12,동두천시,홍가네농장,,2025,5728,"영농체험시설, 야영장",,,,,
2024-12,동두천시,파인힐빌리지,,2014,29385,"영농체험시설, 야영장",,,,,
2024-12,동두천시,돈내미 농장,,2014,12301,"영농체험시설, 야영장",,,,,
2024-12,동두천시,탑동농원,,2016,4650,"영농체험시설, 농산물판매장",,,,,
2024-12,안산시,씨엘관광농원,,2015,14520,"영농체험시설, 야영장, 글랭핑장, 수영장 등",,,,,
2024-12,안산시,대부관광농원 오캠핑,,2019,14431.5,"영농체험시설, 캠핑장, 족구장, 수영장 등",,,,,
2024-12,안산시,바다의별관광농원,,2016,12026,"영농체험시설, 카라반, 야영장, 수영장 등",,,,,
2024-12,안산시,고래숲관광농원,,2016,9822,"영농체험시설, 야영장 등",,,,,
2024-12,안성시,용설호관광농원,,2022,4998,"영농체험시설, 숙박체험시설 등",,,,,
2024-12,안성시,어진관광농원,,2021,5008,"영농체험시설, 숙박체험시설, 음식물제공시설,농산물판매점",,,,,
2024-12,안성시,용설관광농원,,2021,3472,"영농체험시설, 숙박체험시설",,,,,
2024-12,안성시,금광관광농원,,1995,17427,"영농체험시설, 야영장,  숙박시설, 직판장, 식당 등",,,,,
2024-12,안성시,엘림관광농원,,1995,18180,"영농체험시설, 식당, 숙박시설, 소매점",,,,,
2024-12,안성시,율곡관광농원,,2013,7031,"영농체험시설, 야영장, 소매점",,,,,
2024-12,안성시,라성 관광농원,,2015,24147,"영농체험시설,농산물판매장및 보관창고, 숙박시설, 유리온실등",,,,,
2024-12,안성시,파운더스홀 관광농원,,2017,7444.6,"영농체험시설, 카라반, 유기시설(놀이터), 농산물판매장및 보관창고",,,,,
2024-12,안성시,소나무 관광농원,,2018,4793,"영농체험시설, 수영장, 농산물직판장 등",,,,,
2024-12,안성시,호수관광농원,,2018,4950,"영농체험시설, 숙박체험시설 등",,,,,
2024-12,양주시,고주내관광농원,,2016,9132,"영농체험시설, 편의시설, 수영장",,,,,
2024-12,양주시,이레농산,,2023,15420,"영농체험시설, 편의시설",,,,,
2024-12,양주시,따옴딸기농원,,2023,3804,"영농체험시설, 편의시설",,,,,
2024-12,양주시,양주장흥VIP농원,,2023,5029,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,광백농원,,2023,4900,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,오성농원,,2023,7480,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,구암농원,,2023,7405,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,물나라농원,,2023,4816,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,양주린관광농원,,2022,7698,"영농체험시설, 편의시설, 승마장",,,,,
2024-12,양주시,제니의농원,,2022,5148,"영농체험시설, 편의시설, 주차장",,,,,
2024-12,양주시,자연농원,,2024,6108,"영농체험시설,편의시설",,,,,
2024-12,양주시,명현 관광농원,,2024,7413,"영농체험시설,편의시설",,,,,
2024-12,양주시,더숲 관광농원,,2024,6996,"영농체험시설, 편의시설,야영장",,,,,
2024-12,양주시,율정농원,,2024,9950,"영농체험시설, 편의시설,야영장",,,,,
2024-12,양주시,고암 스마트 팜,,2024,8158,"영농체험시설, 편의시설,야영장",,,,,
2024-12,양주시,홍천농원,,2024,4950,"영농체험시설, 편의시설,야영장",,,,,
2024-12,양주시,기산호수농원,,2024,4995,"영농체험시설, 편의시설",,,,,
2024-12,양주시,장흥관광농원,,2006,24435,"영농체험시설, 야영장, 편의시설, 음식점, 목욕탕, 운동장 등",,,,,
2024-12,양주시,꿀벌의세계,,2010,25919,"영농체험시설, 편의시설, 주차장 등",,,,,
2024-12,양주시,황방농원,,2013,3621,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,흑과백농원,,2014,3805,"영농체험시설, 원두막, 화장실,야영장 등",,,,,
2024-12,양주시,안태울농원,,2014,15151,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,그린힐농원,,2015,15004,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,원두막농원,,2015,3950,"영농체험시설, 편의시설",,,,,
2024-12,양주시,선녀와나무꾼,,2015,6559,"영농체험시설, 편의시설",,,,,
2024-12,양주시,방성농원,,2016,7457,"영농체험시설, 화정실, 야영장 등",,,,,
2024-12,양주시,송천농원,,2016,8422,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,하늘관광농원,,2016,13962,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,돌고개농원(별을 다는 아이),,2016,7290,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,네오농원,,2016,6531,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,스톤밸리 관광농원,,2016,27614,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,블루스카이 관광농원,,2024,7495,"영농체험시설,편의시설",,,,,
2024-12,양주시,천보관광농원,,2016,4915,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,양주탑관광농원,,2016,7176,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,들꽃피는관광농원,,2017,5304,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,양주에이스,,2017,9961,"영농체험시설, 야구장 등",,,,,
2024-12,양주시,밤골농원,,2017,7450,"영농체험시설, 편의시설",,,,,
2024-12,양주시,하늘바람관광농원,,2017,5127,"영농체험시설, 편의시설",,,,,
2024-12,양주시,은하수농원,,2018,9966,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,멍이관광농원,,2018,6867,"영농체험시설, 야영장",,,,,
2024-12,양주시,지곡농원,,2018,6139,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,만송농원,,2019,9985,"영농체험시설, 편의시설",,,,,
2024-12,양주시,청담관광농원,,2020,9602,"영농체험시설, 편의시설",,,,,
2024-12,양주시,성묘농원,,2020,7335,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,양주꽃농원,,2021,4910,"영농체험시설, 편의시설",,,,,
2024-12,양주시,태양관광농원,,2021,7490,"영농체험시설, 편의시설",,,,,
2024-12,양주시,양명힐링캠프,,2022,6837,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,백석꽃농원,,2023,5091,"영농체험시설, 편의시설",,,,,
2024-12,양주시,주영농원,,2022,23161,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,제이제이관광농원,,2022,4838,"영농체험시설, 편의시설",,,,,
2024-12,양주시,연꽃빌리지 관광농원,,2022,8280,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,광백레이크농원,,2022,4900,"영농체험시설, 편의시설, 야영장",,,,,
2024-12,양주시,휴리조트,,2024,33793,"영농체험시설, 편의시설,야영장,수영장",,,,,
2024-12,양평군,숲이야 관광농원,,2024,4413.8,"영농체험시설, 편의시설, 야영장, 기반시설 등",,,,,
2024-12,양평군,양동쌍학 관광농원,,2024,21941.9,"영농체험시설, 편의시설, 야영장, 기반시설 등",,,,,
2024-12,양평군,에코이글루 관광농원,,2022,4982,"영농체험시설, 야영장, 편의시설, 기반시설",,,,,
2024-12,양평군,아그리스팜 관광농원,,2022,4924,"영농체험시설, 사무실, 체험장 등",,,,,
2024-12,양평군,부림관광농원,,2014,6604,"영농체험시설, 주택,화장실, 야영장 등",,,,,
2024-12,양평군,양평 모세골 황토방,,2019,4987.2,"영농체험시설,,야영장,편의시설,기반시설 등",,,,,
2024-12,양평군,송백관광농원,,2017,29963,"영농체험시설,야영장,족구장,판매장,음식점,기반시설",,,,,
2024-12,양평군,사나래관광농원,,2017,4960,"영농체험시설, 주택, 화장실, 야영장 등",,,,,
2024-12,양평군,양평프라자,,2016,18602,"영농체험시설, 주택,화장실 등",,,,,
2024-12,양평군,노산팔경캠핑장 관광농원,,2019,5936,"영농체험시설,,야영장,편의시설,기반시설 등",,,,,
2024-12,여주시,여주관광농원,,1991,27027,"영농체험장, 숙박시설, 식당, 운동시설 등",,,,,
2024-12,여주시,대림관광농원,,2004,8042,"영농체험장, 족구장, 식당, 소매점 등",,,,,
2024-12,여주시,블루마린관광농원,,2013,12884,"영농체험장, 체육시설, 야영장 등",,,,,
2024-12,여주시,호수산장농원,,2015,6854,"영농체험장, 야영장, 야외수영장 등",,,,,
2024-12,여주시,예크생물원,,2015,4864,"영농체험장, 음식점, 어린이놀이시설 등",,,,,
2024-12,여주시,파인관광농원,,2013,9950,"영농체험장, 체육시설, 야영장, 판매장 및 음식점 등",,,,,
2024-12,여주시,여미지관광농원,,2013,4995,"영농체험장, 사무실, 주차장 등",,,,,
2024-12,여주시,여주남산골관광농원,,2012,6581,"영농체험장, 사무실, 운동장 등",,,,,
2024-12,여주시,허브나라농원,,2016,29379.2,"영농체험장, 체육시설",,,,,
2024-12,여주시,세종관광농원,,2017,8790,"영농체험시설, 관리사, 식당 등",,,,,
2024-12,여주시,힐링관광농원,,2013,4994.5,"영농체험시설, 관리사, 식당 등",,,,,
2024-12,여주시,한경관광농원,,2014,9730,"영농체험시설, 관리사 등",,,,,
2024-12,여주시,여주산촌관광농원,,2014,5618.7,"영농체험장, 캠핑장, 소매점, 관리사 등",,,,,
2024-12,여주시,햇살아래관광농원,,2015,17740,"영농체험장, 농산물판매장, 관리사 등",,,,,
2024-12,여주시,옥봉관광농원,,2008,4690,"영농체험장, 민박시설, 도자기체험장 등",,,,,
2024-12,여주시,숲향기관광농원,,2013,29931.9,"영농체험시설, 관람시설, 관리사 등",,,,,
2024-12,여주시,백송농원,,2014,9675.2,"영농체험시설, 휴양시설, 사무소",,,,,
2024-12,여주시,수양 관광농원,,2020,4345.2,"영종체험시설, 사무소, 농산물판매장, 황토체험실",,,,,
2024-12,여주시,늘향골마을 관광농원,,2022,3595,"영농체험시설, 찜질방, 야영장",,,,,
2024-12,여주시,더 포레 1947,,2014,20197,"영농체험시설, 동물체험장, 농산물판매장 등",,,,,
2024-12,여주시,에버그린 관광농원,,2016,29582,"영농체험시설, 야영장, 운동시설, 소매점 등",,,,,
2024-12,여주시,농업회사법인 푸르메소셜팜,,2020,14846.3,"영농체험시설, 버섯재배사, 가공저장창고 등",,,,,
2024-12,여주시,Forest AG405 관광농원,,2022,28152,"영농체험시설, 체육시설, 음식점, 야생화체험장 등",,,,,
2024-12,여주시,여주주록관광농원,,2022,6390.2,"영농체험시설, 농산물판매장, 캠핑장 등",,,,,
2024-12,여주시,여주유림관광농원,,2015,18905.3,"영농체험시설, 숲체험학습장, 주차장 등",,,,,
2024-12,여주시,여주서희관광농원,,2018,9211.9,"영농체험시설, 사무실, 소매점, 주차장 등",,,,,
2024-12,연천군,풍천관광농원,,1993,24978,"영농체험, 숙박시설, 운동시설",,,,,
2024-12,연천군,동막골 관광농원,,2024,8685,"영농체험,야영장,편의시설",,,,,
2024-12,연천군,다솔관광농원,,2014,7497,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,당포관광농원,,2016,7387,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,땅에미소,,2016,29483,"영농체험, 야영장, 매점",,,,,
2024-12,연천군,랩도그빌,,2016,7544,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,마리오허브빌리지,,2008,41930,"영농체험, 숙박시설, 편의시설, 음식점, 소매점",,,,,
2024-12,연천군,비손관광농원,,2016,15567.1,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,석장리미술관,,2016,6281,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,숲속의보물나라,,2016,9969,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,에브라임,,2015,9998,"영농체험, 야영장, 매점",,,,,
2024-12,연천군,연천관광농원,,2017,28538,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,우정동산관광농원,,2017,8740,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,임진강나룻배평화생태마을팜핑장,,2016,9963,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,장남동산,,2016,7265,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,조선왕가,,2016,7342,"영농체험, 글램핑장",,,,,
2024-12,연천군,베르인관광농원,,2020,6106,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,연천하늘농원,,2018,3329,"영농체험, 편의시설",,,,,
2024-12,연천군,예목관광농원,,2019,4872,"영농체험, 편의시설",,,,,
2024-12,연천군,뉴드림팜 농업회사법인,,2021,14528,"영농체험, 편의시설, 야영장(일반, 카라반), 수영장",,,,,
2024-12,연천군,야생초마을 아미골,,2021,6735,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,원당관광농원,,2021,9858,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,유한회사 장탄[장탄허브랜드],,2021,21494,"영농체험, 야영장, 편의시설, 정원",,,,,
2024-12,연천군,해마루관광농원,,2023,21510,"영농체험, 야영장, 편의시설",,,,,
2024-12,연천군,G2농원,,2023,13114,"영농체험, 야영장, 편의시설",,,,,
