인증년도,시군명,농장명,주제,전화번호,홈페이지주소,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2022,고양시,송호원,농업활동의 이해 (6차 산업을 중심으로),,http://www.songhowon.co.kr,10296,경기도 고양시 덕양구 주교동 488번지,경기도 고양시 덕양구 마상로57번길 87-124,37.6752380942,126.8333908604
2022,고양시,나름대로,식물의 한살이,,http://blog.naver.com/inallgreen,10262,경기도 고양시 덕양구 내유동 413-7번지,경기도 고양시 덕양구 통일로 1161-1,37.7168406990,126.8490958164
2022,고양시,품에정원,식물의 한살이,,http://hugingarden.modoo.at,10540,경기도 고양시 덕양구 현천동 236-1,경기도 고양시 덕양구 대덕로156번길 19-61,37.5970262986,126.8621373083
2022,고양시,㈜일산쌀농업회사법인,고양시에서 3대가 쌀농사를 지으며 교육농장을 운영함,,http://www.ilsanrice.com,10429,경기도 고양시 일산동구 장항동 583-14번지,경기도 고양시 일산동구 장항로 246-32,37.6428170402,126.7737870980
2022,고양시,고양낙농치즈체험장,고구마 한살이,,http://www.ischeese.net,10262,경기도 고양시 덕양구 관산동 847-93번지,경기도 고양시 덕양구 통일로893번길 74,37.6972061319,126.8533170415
2022,고양시,산울안민속농원,식물의 한살이,,sanwoolan.com,10276,경기도 고양시 덕양구 선유동 244-3번지,경기도 고양시 덕양구 서리골길124번길 48-3,37.6919043670,126.9114475752
2024,고양시,에듀팜댄싱플라워교육원,다양한 꽃과 식물들을 접하고 자연과 함께하는 방법을 배울 수 있는 치유교육농장,,https://blog.naver.com/younhee7535,10208,경기도 고양시 일산서구 가좌동 933번지,경기도 고양시 일산서구 가좌로 106,37.6888190422,126.7158468615
2022,고양시,고양몽글정원,식물의 한살이,,http://www.instagram.com/mongle.farm,10566,경기도 고양시 덕양구 신원동 238-4번지,경기도 고양시 덕양구 호국로1254번길 164-28,37.6710066928,126.8805658314
2022,고양시,농업회사법인㈜달나유,아로니아야 놀자,,http://dalnayou119.modoo.at,10246,경기도 고양시 일산동구 성석동 1384번지,경기도 고양시 일산동구 감내길 25-7,37.7100162748,126.7820830865
2024,광주시,향아딸기농원,친환경 무농약 딸기를 만날 수 있는 농촌교육농장,,https://www.instagram.com/h.a_berry/,12709,경기도 광주시 남종면 삼성리 330번지,경기도 광주시 남종면 태허정로 467-5,37.4858930884,127.2799715993
2024,광주시,퇴촌식물원,"자연 속에서 여유, 교육, 체험, 건강을 모두 즐길 수 있는 공간",,http://www.yasanghwa.com/default/,12711,경기도 광주시 퇴촌면 도수리 290-1번지,경기도 광주시 퇴촌면 정영로 315,37.4672935827,127.3260744945
2022,김포시,삼화농원,24절기 농촌체험학습 프로그램,,http://blog.naver.com/gwkim36,10029,경기도 김포시 통진읍 옹정리 293-3,,37.6833680993,126.5788310937
2024,김포시,김포송마리다육,다육식물과 이끼의 공생을 통한 생태계의 상호작용과 환경보호의 중요성을 알려주는 교육농장,,https://blog.naver.com/da62father,10027,경기도 김포시 대곶면 송마리 1371번지,경기도 김포시 대곶면 대곶로202번길 174,37.6615171926,126.5625773422
2023,김포시,햇살가득버섯,오감만족 버섯체험,,https://blog.naver.com/sun05197,10012,경기도 김포시 하성면 석탄리 931번지,경기도 김포시 하성면 오정동로177번길 168-35,37.7250782858,126.6671363562
2023,김포시,이레가든빌리지,"식물소개, 식물관계교육",,http://www.iregarden.com,10057,경기도 김포시 양촌읍 양곡리 308-7번지,경기도 김포시 양촌읍 대명항로 46,37.6552970614,126.6137384554
2024,남양주시,별내팜스쿨,도시화된 사회속에서 농촌 경험을 통해 자연이 주는 배움과 힐링을 전하는 교육농장,,www.farm-school-1.com,12076,경기도 남양주시 별내면 용암리 163-3번지,경기도 남양주시 별내면 용암비루개길 226,37.7398982087,127.1278148303
2024,남양주시,안나농원,행복한 만남과 맛있는 교육의 보물같은 자연 체험 학습장,,https://www.annafarm.net,12265,경기도 남양주시 다산동 387-7번지,경기도 남양주시 다산지금로146번길 40-20,37.6007085658,127.1683295762
2022,남양주시,다과록,"즐거운 동거 차나무, 포도나무",,http://www.dagwarok.com,12076,경기도 남양주시 별내면 용암리 502-1번지,경기도 남양주시 별내면 용암도감말길 7-24,37.7169438866,127.1285991255
2024,성남시,지니&맥스농장,지역사회 자원순환 체계를 토대로 친환경 재배공법을 활용한 교육,,https://blog.naver.com/maxsong6743,,경기도 성남시 수정구 복정동 408-10번지,,37.4618775206,127.1309443233
2024,안산시,농업회사법인주식회사바다의별관광농원,곤충과 함께 생태체험을 할 수 있는 농촌교육농장,,www.seastarcamp.co.kr,15650,경기도 안산시 단원구 대부남동 5-5번지,경기도 안산시 단원구 부흥로 359-9,37.2145780685,126.6106929289
2022,안산시,상록수된장마을,콩,,http://www.snsdj.com,15521,경기도 안산시 상록구 사사동 530-7번지,경기도 안산시 상록구 수인로 872,37.2997387050,126.9124185557
2023,안성시,농업회사법인주식회사 농노리,반려식물 활용 체험,,http://nongnori.com/,17544,경기도 안성시 대덕면 신령리 738-1번지,경기도 안성시 대덕면 신령로 65-66,37.0155235444,127.2127411292
2024,안성시,유나팜,새싹인삼과 허브의 건강한 속삭임,,www.yunafarm.net,17607,경기도 안성시 서운면 인리 84번지,경기도 안성시 서운면 서운로 364-44,36.9471154590,127.2628196565
2024,안성시,허브와풍뎅이,"곤충, 허브, 동물을 테마로 다양한 체험프로그램을 운영하고 있는 체험교육농장",,blog.naver.com/herbbeetle,17523,경기도 안성시 죽산면 용설리 443번지,경기도 안성시 죽산면 용설호수길 245-7,37.0493906519,127.4422954946
2024,여주시,농업회사법인팜스퀘어㈜,"쌀 식문화 교육 프로그램, 쌀을 주제로 한 살이, 세시풍속, 세계나라 주식 등 학습",,http://www.farmsquaerm.co.kr,12604,경기도 여주시 금사면 도곡리 241-1번지,경기도 여주시 금사면 금품2로 835-64,37.3840621379,127.5004179842
2022,여주시,여주자연농원,자연과 야생화를 이용한 힐링,,http://blog.naver.com/rkwkrhrhrh,12641,경기도 여주시 세종대왕면 번도리 424-2번지,경기도 여주시 세종대왕면 마장로 99-31,37.3014600531,127.5779702517
2022,여주시,사슴마을루돌프,농촌체험과 산골체험,,http://ldf.modoo.at/,12604,경기도 여주시 금사면 주록리 32-1,경기도 여주시 금사면 주록길 10,37.3766496347,127.4728357147
2022,여주시,주주팜,가축과 반려동물을 이용한 동물교감 체험,,http://zoozoofarm.co.kr,12653,경기도 여주시 능현동 432-1번지 가남로 1126-1,경기도 여주시 능현1길 73,37.2640430735,127.6520738159
2024,여주시,조이피플,곤충사육농가로 곤충을 주제로 한 다양한 활동을 진행하고 있는 농장입니다.,,https://www.instagram.com/joypeople2020/,12604,경기도 여주시 금사면 도곡리 24-3번지,경기도 여주시 금사면 아랫가마실길 95,37.3845844350,127.5109459746
2024,연천군,새둥지마을,볍씨에서 밥알까지,,www.gumiri.com,11049,경기도 연천군 백학면 구미리 169번지,경기도 연천군 백학면 노아로491번길 86,38.0063758167,126.9599501806
2024,용인시,베리가든,치유농업사가 운영하는 치유농장입니다.,,https://blog.naver.com/sunmind4,17171,경기도 용인시 처인구 백암면 가창리 1017-11번지,경기도 용인시 처인구 백암면 청강가창로 144-14,37.1912602397,127.3678012861
2024,용인시,허브영감,식용허브 오감체험과 자연휴식공간을 제공하는 허브전문 교육농장입니다.,,http://blog.naver.com/antares0,17182,경기도 용인시 처인구 백암면 장평리 264-9번지,경기도 용인시 처인구 백암면 한택로 371-8,37.1165770466,127.3844440557
2024,이천시,청초원승마장,"아동, 유소년, 성인, 장애인을 대상으로 승마체험, 승마강습, 재활승마, 비기승 활동 제공",,https://blog.naver.com/iolove214,17313,경기도 이천시 백사면 백우리 339-8번지,경기도 이천시 백사면 청백리로499번길 238,37.3273374991,127.5076417006
2023,이천시,마실,"쌀과 야생화, 엄마의 꽃밭",,https://story.kakao.com/epistles,17423,경기도 이천시 율면 월포리 79번지,경기도 이천시 율면 임오산로372번길 150,37.0859470847,127.5825421571
2024,파주시,산머루농원영농조합법인,"대한민국 산머루 와인의 살아있는 역사, 산머루농원입니다.",,smartstore.naver.com?sanmeorufarm,10804,경기도 파주시 적성면 객현리 67-1번지,경기도 파주시 적성면 윗배우니길 441-25,37.9602478421,126.9579203685
2022,평택시,농업회사법인㈜히비스커스,무궁화 관련 체험교육,,http://mhealingtime.modoo.at,17706,경기도 평택시 진위면 하북리 317-2번지 102-20,경기도 평택시 진위면 하북2길 102-23,37.0957125324,127.0520492146
2024,포천시,농업회사법인사과깡패㈜,포천 사과를 활용한 사과의 모든 것을 즐길 수 있는 체험장,,https://blog.naver.com/appleapple8998,11131,경기도 포천시 영중면 금주리 729-3번지,경기도 포천시 영중면 호국로 2674-77,37.9798558856,127.2476925314
2022,화성시,향기농원,벼농사로 비롯된 한국의 농업문화와 역사 탐구,,http://blog.naver.com/hk_farm,18625,경기도 화성시 향남읍 증거리 220번지,경기도 화성시 향남읍 만년로 206-4,37.1411497402,126.9785144710
2022,화성시,원혜농원,포도,,http://blog.naver.com/bk3096,18545,경기도 화성시 송산면 고포리 116번지,경기도 화성시 송산면 고포길 10,37.2398794231,126.6702502135
2022,화성시,농업회사법인팜스토리㈜,포도,,http://blog.naver.com/wari3894kr,18549,경기도 화성시 송산면 삼존리 1230번지,경기도 화성시 송산면 공룡로 54-40,37.2209734716,126.7338814401
2024,화성시,최은명자연꿀,자연숙성 꿀을 고집하고 있으며 전국에서 깨끗한 양봉장 캠페인에서 깨끗한 양봉장으로 선정,,https://blog.naver.com/dmsaud131,18327,경기도 화성시 봉담읍 수기리 148-2번지,경기도 화성시 봉담읍 방축길 6,37.1995487940,126.9717125739
2024,화성시,제부도모세농장,자기 주도형 농.어촌 생태 교육 진로 체험농장입니다.,,blog.naver.com/jebudo_yeon,18553,경기도 화성시 서신면 제부리 218-1번지,경기도 화성시 서신면 해안길386번길 45,37.1710802580,126.6219712590
2024,화성시,농업회사법인주식회사채운농원,농사와 먹거리,,www.myfarm.or.kr,18554,경기도 화성시 서신면 전곡리 90번지,경기도 화성시 서신면 당성로 273,37.1974866771,126.6963037883
2024,화성시,꽃마루,"자연속에서 전통두부만들기,포도따기등 다양한프로그램 운영",,화성 꽃마루.com,18545,경기도 화성시 송산면 마산리 537-2번지,경기도 화성시 송산면 송산포도로 546-9,37.2317170233,126.6956700331
2023,화성시,더힐링팜,버섯체험,,https://www.thehealingfarm.co.kr,18520,경기도 화성시 정남면 관항리 525-12번지,경기도 화성시 정남면 관항길321번길 10-3,37.1814768153,126.9540724931
2023,화성시,수피아,동물의 한살이,,https://m.blog.naver.com/supia-,18274,경기도 화성시 남양읍 무송리 156-7번지,경기도 화성시 남양읍 현대기아로487번길 35-57,37.1992987227,126.8408781916
2023,화성시,에코뜰자연학교,전통,,https//blog.naver.com/imcho21,18512,경기도 화성시 정남면 용수리 54-3번지,경기도 화성시 정남면 용수길26번길 3-10,37.1707704428,127.0016501960

